Timestamp;SCD30_CO2
2026-04-23 08:18:57;444.914299025
2026-04-23 08:19:57;443.11606597499997
2026-04-23 08:20:57;440.30713652500003
2026-04-23 08:21:57;438.607139575
2026-04-23 08:22:57;436.999992375
2026-04-23 08:23:57;435.6000061
2026-04-23 08:24:57;438.41428375
2026-04-23 08:25:57;449.11428832499996
2026-04-23 08:26:57;453.5285797
2026-04-23 08:27:57;453.95238495
2026-04-23 08:28:57;453.44999695
2026-04-23 08:29:57;453.1785736
2026-04-23 08:30:57;453.5571518
2026-04-23 08:31:57;454.03571320000003
2026-04-23 08:32:57;455.6428604
2026-04-23 08:33:57;462.54286195
2026-04-23 08:34:57;469.5285797
2026-04-23 08:35:57;470.88571167500004
2026-04-23 08:36:57;466.728576675
2026-04-23 08:37:57;461.839286775
2026-04-23 08:38:57;461.44286345
2026-04-23 08:39:57;458.221427925
2026-04-23 08:40:57;456.449989325
2026-04-23 08:41:57;457.5
2026-04-23 08:42:57;459.705352775
2026-04-23 08:43:57;465.75
2026-04-23 08:44:57;471.7428589
2026-04-23 08:45:57;476.21428426666665
2026-04-23 08:46:57;478.964279175
2026-04-23 08:47:57;478.30000305
2026-04-23 08:48:57;478.69999695
2026-04-23 08:49:57;477.3523864666667
2026-04-23 08:50:57;520.0952352
2026-04-23 08:51:57;3380.9642027500004
2026-04-23 08:52:57;5209.307129000001
2026-04-23 08:53:57;2949.95712275
2026-04-23 08:54:57;1156.428527775
2026-04-23 08:55:57;549.285720825
2026-04-23 08:56:57;333.34286499999996
2026-04-23 08:57:57;234.09999464999999
2026-04-23 08:58:57;247.30000687500004
2026-04-23 08:59:57;240.01428602500002
2026-04-23 09:00:57;2619.614288525
2026-04-23 09:01:57;2277.70532225
2026-04-23 09:02:57;2322.54992675
2026-04-23 09:03:57;2464.5058595
2026-04-23 09:04:57;2531.6429442500003
2026-04-23 09:05:57;2565.01434325
2026-04-23 09:06:57;2593.6569824999997
2026-04-23 09:07:57;2615.39996375
2026-04-23 09:08:57;2634.0267945
2026-04-23 09:09:57;2651.3928835
2026-04-23 09:10:57;2670.7857055
2026-04-23 09:11:57;2682.250061
2026-04-23 09:12:57;2695.124939
2026-04-23 09:13:57;2705.6875609999997
2026-04-23 09:14:57;2714.1161497499997
2026-04-23 09:15:57;2722.04473875
2026-04-23 09:16:57;2736.94287125
2026-04-23 09:17:57;2757.2143555000002
2026-04-23 09:18:57;2765.957153
2026-04-23 09:19:57;2786.935669
2026-04-23 09:20:57;2806.741089
2026-04-23 09:21:57;2824.05719025
2026-04-23 09:22:57;2840.73211675
2026-04-23 09:23:57;2859.9714357499997
2026-04-23 09:24:57;2876.678528
2026-04-23 09:25:57;2886.03576675
2026-04-23 09:26:57;2889.3691407500005
2026-04-23 09:27:57;2888.9428097500004
2026-04-23 09:28:57;2884.761962666667
2026-04-23 09:29:57;2885.32592775
2026-04-23 09:30:57;2896.0930175
2026-04-23 09:31:57;2908.121399
2026-04-23 09:32:57;2914.4642945
2026-04-23 09:33:57;2913.33032225
2026-04-23 09:34:57;2915.94989
2026-04-23 09:35:57;2918.696411
2026-04-23 09:36:57;2923.2230832499995
2026-04-23 09:37:57;2928.1338499999997
2026-04-23 09:38:57;2934.866089
2026-04-23 09:39:57;2944.5570679999996
2026-04-23 09:40:57;2955.3428344999998
2026-04-23 09:41:57;2964.8125
2026-04-23 09:42:57;2969.00891125
2026-04-23 09:43:57;2965.25714125
2026-04-23 09:44:57;2965.54461675
2026-04-23 09:45:57;2973.47851575
2026-04-23 09:46:57;2985.89282225
2026-04-23 09:47:57;2986.4071655
2026-04-23 09:48:57;2990.7054445000003
2026-04-23 09:49:57;2988.23217775
2026-04-23 09:50:57;2993.64288325
2026-04-23 09:51:57;2991.4195557499997
2026-04-23 09:52:57;2990.8856199999996
2026-04-23 09:53:57;2987.928589
2026-04-23 09:54:57;2987.119140666667
2026-04-23 09:55:57;2995.75
2026-04-23 09:56:57;3008.685791
2026-04-23 09:57:57;3013.61413575
2026-04-23 09:58:57;3016.7214354999996
2026-04-23 09:59:57;3020.7714845
2026-04-23 10:00:57;3028.4017945
2026-04-23 10:01:57;3033.3142697499998
2026-04-23 10:02:57;3037.062561
2026-04-23 10:03:57;3038.0267335
2026-04-23 10:04:57;3036.3840332500004
2026-04-23 10:05:57;3036.3809406666664
2026-04-23 10:06:57;3031.85717775
2026-04-23 10:07:57;3033.33575425
2026-04-23 10:08:57;3034.77130125
2026-04-23 10:09:57;3035.2055665000003
2026-04-23 10:10:57;3039.1606444999998
2026-04-23 10:11:57;3043.9167479999996
2026-04-23 10:12:57;3062.0356444999998
2026-04-23 10:13:57;3069.9927977499997
2026-04-23 10:14:57;2765.43573025
2026-04-23 10:15:57;965.794639575
2026-04-23 10:16:57;163.07857132499998
2026-04-23 10:17:57;121.214283
